"","phenotype","definition","comments","medicalAnalyst","validatedByRealData"
"1","","","","oleg.zhuk@odysseusinc.com"," "
"2","864_antiCD20","list of anti-CD20 drugs","Don't add iobenguane and Tositumomab","oleg.zhuk@odysseusinc.com","validated"
"3","864_DLBCL_C83.3X","DLBCL: C83.3X","Problem mapping in C83.36, mentoned in email - allowed to use source_concept_id - check separate concept_set","oleg.zhuk@odysseusinc.com","validated"
"4","864_FL_C82.X","FL: C82.X","","oleg.zhuk@odysseusinc.com","validated"
"5","864_CLL_C91.1X","CLL: C91.1X","","oleg.zhuk@odysseusinc.com","validated"
"6","864_CLL_C91.3X","CLL: C91.3X","","oleg.zhuk@odysseusinc.com","validated"
"7","864_MCL_C83.1X","MCL: C83.1X","","oleg.zhuk@odysseusinc.com","validated"
"8","864_MZL_C83.8X_C88.4X","MZL: C83.8X or C88.4X","","oleg.zhuk@odysseusinc.com","validated"
"9","864_BNHL_All","Other","","oleg.zhuk@odysseusinc.com","validated"
"10","864_DLBCL_source_concept_id_C83.3X","C83.36 - code with problem mapping","","oleg.zhuk@odysseusinc.com","validated"
"11","864_FL_source_concept_id_C82.X","C82.X - source_concept_id for codes with problem mapping","","oleg.zhuk@odysseusinc.com","validated"
"12","864_MZL_source_concept_id_C83.8X_C88.4X","C83.8, C83.80, C83.81, C83.82, C83.83, C83.84, C83.85, C83.86, C83.87, C83.88, C83.89","","oleg.zhuk@odysseusinc.com","validated"
"13","864_BNHL_source_concept_id_All","source concepts not covered by mapping to ver general concepts","","oleg.zhuk@odysseusinc.com","validated"
"14","864_MCL_source_concept_id_C83.1X","C83.19","","oleg.zhuk@odysseusinc.com","validated"
"15","","","","oleg.zhuk@odysseusinc.com"," "
"16","907_ADdiag_L20.0_L20.81_L20.82_L20.83_L20.84_L20.89_L20.9","L20.0   Besnier's prurigo
L20.81 Atopic neurodermatitis 
L20.82 Flexural eczema
L20.83 Infantile (acute) (chronic) eczema
L20.84 Intrinsic (allergic) eczema
L20.89 Other atopic dermatitis
L20.9   Atopic dermatitis, unspecified","L20.0   Besnier's prurigo
L20.81 Atopic neurodermatitis 
L20.82 Flexural eczema
L20.83 Infantile (acute) (chronic) eczema
L20.84 Intrinsic (allergic) eczema
L20.89 Other atopic dermatitis
L20.9   Atopic dermatitis, unspecified","oleg.zhuk@odysseusinc.com","validated"
"17","907_topical_CI","Pimecrolimus, Tacrolimus","","oleg.zhuk@odysseusinc.com","validated"
"18","907_phototherapy","phototherapy","","oleg.zhuk@odysseusinc.com","validated"
"19","907_Syst_corticosteroids_oral_inj","Betamethasone, Cortisone, Dexamethasone, Hydrocortisone, Methylprednisolone, Prednisolone, Prednisone, Triamcinolone","","oleg.zhuk@odysseusinc.com","validated"
"20","907_Immunosuppressants","Cyclosporine, Methotrexate, Azathioprine, Mycophenolate, tacrolimus (oral), Interferon Gamma","Slightly differs from 908_Immunosuppressants; No need to add additional concepts","oleg.zhuk@odysseusinc.com","validated"
"21","907_topical_crisaborole","Topical crisaborole","","oleg.zhuk@odysseusinc.com","validated"
"22","907_topical_corticosteroids","Alclometasone, Amcinonide, Betamethasone, Clobetasol, Clocortolone, Desonide, Desoximetasone, Diflorasone, Flucinolone, Fluocinonide, Flurandrenolide, Fluticasone, Halcinonide, Halobetasol, Hydrocortisone, Mometasone, Prednicarbate, Triamcinolone","No need to add additional concepts","oleg.zhuk@odysseusinc.com","validated"
"23","","","","oleg.zhuk@odysseusinc.com"," "
"24","908_Urticaria_L50.1_L50.8_L50.9","outpatient CSU dx of L50.1, L50.8, or L50.9","Urticaria only","oleg.zhuk@odysseusinc.com","validated"
"25","908_Angioedema_T78.3","one outpatient dx with T78.3","Angioedema","oleg.zhuk@odysseusinc.com","validated"
"26","908_L50.0_L50.2-L50.6_L56.9_D69.0","L50.0, L50.2-L50.6, L56.9 or D69.0","Certain types of urticaria","oleg.zhuk@odysseusinc.com","validated"
"27","908_First_gen_H1_antihist","Brompheniramine, Carbinoxamine, Chlorpheniramine, Clemastine, Cyproheptadine, dexchlorpheniramine, Dimetindene, Diphenhydramine, Doxyalimine, Hydroxyzine, Promethazine, tripolidine","","oleg.zhuk@odysseusinc.com","validated"
"28","908_Second_gen_H1_antihist","Cetirizine, Desloratadine, fexofenadine, Levocetirizine, loratadine, Mizolastine","","oleg.zhuk@odysseusinc.com","validated"
"29","908_Syst_corticosteroids_oral_inj","Betamethasone, Cortisone, Dexamethasone, Hydrocortisone, Methylprednisolone, Prednisolone, Prednisone, Triamcinolone","","oleg.zhuk@odysseusinc.com","validated"
"30","908_Immunosuppressants","Cyclosporine, Methotrexate, Azathioprine, Mycophenolate, tacrolimus (oral), dapsone, sulfasalazine, mizoribine","No need to add additional concepts","oleg.zhuk@odysseusinc.com","validated"
"31","908_doxepin_oral","oral doxepin","","oleg.zhuk@odysseusinc.com","validated"
"32","908_montelukast","montelukast","","oleg.zhuk@odysseusinc.com","validated"
"33","908_omalizumab","Omalizumab","","oleg.zhuk@odysseusinc.com","validated"
"34","908_phototherapy","phototherapy","Discussion required: we can't define good codelist for the phototherapy, the concept set becomes very general. We can exclude all nasal/oral/etc phototherapy, but not sure if this option is ok","oleg.zhuk@odysseusinc.com","validated"
"35","","","","oleg.zhuk@odysseusinc.com"," "
"36","909_Prurigo_L28.1","At least one dx (ICD-10 L28.1) at any place in the RX file or the Dx/Lx file","Diagnosis of Prurigo nodularis, no other conditions found","oleg.zhuk@odysseusinc.com","validated"
"37","909_Gabapentinoids","Gabapentin, pregabalin","Do not include mirogabalin and phenibut","oleg.zhuk@odysseusinc.com","validated"
"38","909_mod_high_potency_TCS","List 2","Include combinations","oleg.zhuk@odysseusinc.com","validated"
"39","909_topical_CI","Pimecrolimus, Tacrolimus","Combinations should be included","oleg.zhuk@odysseusinc.com","validated"
"40","909_Syst_corticosteroids_oral_inj","Betamethasone, Cortisone, Dexamethasone, Hydrocortisone, Methylprednisolone, Prednisolone, Prednisone, Triamcinolone","","oleg.zhuk@odysseusinc.com","validated"
"41","909_Immunosuppressants","Cyclosporine, Methotrexate, Azathioprine, Mycophenolate, thalidomide, lenalidomide, tacrolimus (oral), dapsone","Differs from concept set in cohort 908","oleg.zhuk@odysseusinc.com","validated"
"42","909_phototherapy_cryotherapy","Phototherapy, cryotherapy (if there is code)","Phototherapy of skin + cryotherapy of skin + high level concepts (phototherapy, cryotherapy) without descendants","oleg.zhuk@odysseusinc.com","validated"
"43","909_Antidepressants","SSRI, SNRI, TCA","Using ATC definition for SSRI, SNRI, TCA since REG team forgot to attach the file of drugs of interest","oleg.zhuk@odysseusinc.com","validated"
"44","","","","oleg.zhuk@odysseusinc.com"," "
"45","994_malignant_tumor_of_cervix","Malignant tumor of cervix","Note, also contains secondary malignant neoplasm of cervix since not specified by Regeneron team","oleg.zhuk@odysseusinc.com","validated"
"46","994_malignant_neoplasm_metastasis_to_cervix","Metastasis from anywhere to cervix","From the REG email: We need secondary neoplasm of any site, potentially spread from cervix, not to cervix","oleg.zhuk@odysseusinc.com","validated"
"47","994_primary_malignant_neoplasm_of_cervix","Primary malignant neoplasm of cervix","Only direct indication on primary malignant neoplasm of cervix. Does not contain concepts from the metastatics from cervix","oleg.zhuk@odysseusinc.com","validated"
"48","994_unspecified_malignant_neoplasm_of_cervix","Unspecified malignant neoplasm of cervix","Concepts unclear whether primary or not; Do not contain concepts from the metastatics from cervix","oleg.zhuk@odysseusinc.com","validated"
"49","994_metastasis_excluding_to_cervix","All secondary malignant neoplasms, excluding malignant neoplasm to cervix + All Cancer modifier metastasis, excluding metastasis to cervix + excluding metastasis from known not cervix cancers","On call we agreed to define metastatic cervical cancer as any mention of malignant neoplasm of uterine cervix followed by any mention of secondary neoplastic disease, excluding metastasis to cervix. I also excluded concepts with direct indication that metastasis came from another organ","oleg.zhuk@odysseusinc.com","validated"
"50","994_malignant_neoplasm_metastatic_from_cervix","Concepts with direct indication that metastasis came from the uterine cervix","Renamed from 994_metastatic_cervial_cancer","oleg.zhuk@odysseusinc.com","validated"
"51","994_systemic_therapy","bevacizumab, carboplatin, cisplatin, docetaxel, entrectinib, etoposide, fluorouracil, gemcitabine, ifosfamide, irinotecan, larotrectinib, mitomycin, paclitaxel, pembrolizumab, pemetrexed, topotecan, vinorelbine","","oleg.zhuk@odysseusinc.com","validated"
"52","994_pembrolizumab","pembrolizumab","In case REG team need only pembrolizumab","oleg.zhuk@odysseusinc.com","validated"
"53","","","","oleg.zhuk@odysseusinc.com"," "
"54","1003_lung_cancer","Any lung cancer, including primary bronchial cancer","Incl bronchial cancer","oleg.zhuk@odysseusinc.com"," "
"55","1003_advanced_lung_cancer","Define through Snomed concepts","Would possibly limit the number of patients significantly hence only offered as an option","oleg.zhuk@odysseusinc.com"," "
